City,Date,AQI
Chennai,2017 W37,73.57142857
Chennai,2017 W38,85
Chennai,2017 W39,101
Chennai,2017 W40,68.28571429
Chennai,2017 W41,95
Chennai,2017 W42,173.7142857
Chennai,2017 W43,94.71428571
Chennai,2017 W44,74
Chennai,2017 W45,98.85714286
Chennai,2017 W46,88.14285714
Chennai,2017 W47,114
Chennai,2017 W48,74.28571429
Chennai,2017 W49,124.1428571
Chennai,2017 W50,108.1428571
Chennai,2017 W51,91.42857143
Chennai,2017 W52,116.4285714
Chennai,2018 W01,134.5714286
Chennai,2018 W02,163
Chennai,2018 W03,150.7142857
Chennai,2018 W04,166.4285714
Chennai,2018 W05,150.1428571
Chennai,2018 W06,97.14285714
Chennai,2018 W07,117.1428571
Chennai,2018 W08,112.5714286
Chennai,2018 W09,139.2857143
Chennai,2018 W10,120.7142857
Chennai,2018 W11,94.57142857
Chennai,2018 W12,106
Chennai,2018 W13,86.85714286
Chennai,2018 W14,76.57142857
Chennai,2018 W15,63.71428571
Chennai,2018 W16,62.28571429
Chennai,2018 W17,71.85714286
Chennai,2018 W18,102.1428571
Chennai,2018 W19,78.14285714
Chennai,2018 W20,75.71428571
Chennai,2018 W21,73
Chennai,2018 W22,93.14285714
Chennai,2018 W23,75
Chennai,2018 W24,91
Chennai,2018 W25,102.5714286
Chennai,2018 W26,122.2857143
Chennai,2018 W27,120.2857143
Chennai,2018 W28,90.71428571
Chennai,2018 W29,74.42857143
Chennai,2018 W30,82
Chennai,2018 W31,85.57142857
Chennai,2018 W32,77.14285714
Chennai,2018 W33,79.71428571
Chennai,2018 W34,113.2857143
Chennai,2018 W35,73
Chennai,2018 W36,102.1428571
Chennai,2018 W37,96.14285714
Chennai,2018 W38,95.14285714
Chennai,2018 W39,98.71428571
Chennai,2018 W40,71.14285714
Chennai,2018 W41,101.8571429
Chennai,2018 W42,86.71428571
Chennai,2018 W43,153.2857143
Chennai,2018 W44,105.4285714
Chennai,2018 W45,115.1428571
Chennai,2018 W46,139.7142857
Chennai,2018 W47,104.7142857
Chennai,2018 W48,116.2857143
Chennai,2018 W49,127.7142857
Chennai,2018 W50,165.2857143
Chennai,2018 W51,96.71428571
Chennai,2018 W52,180.2857143
Chennai,2019 W01,168.7142857
Chennai,2019 W02,161.2857143
Chennai,2019 W03,115.1428571
Chennai,2019 W04,96.57142857
Chennai,2019 W05,107
Chennai,2019 W06,102.7142857
Chennai,2019 W07,150.4285714
Chennai,2019 W08,84.71428571
Chennai,2019 W09,156.1428571
Chennai,2019 W10,91
Chennai,2019 W11,106.4285714
Chennai,2019 W12,99.14285714
Chennai,2019 W13,83.71428571
Chennai,2019 W14,108.8571429
Chennai,2019 W15,98
Chennai,2019 W16,73.28571429
Chennai,2019 W17,73.14285714
